,Mkt-RF,SMB,HML,RF
20060823,-0.55,-0.77,0.16,0.018
20060824,0.16,-0.19,0.09,0.018
20060825,-0.07,0.21,-0.21,0.018
20060828,0.58,0.41,-0.11,0.018
20060829,0.33,0.94,-0.17,0.018
20060830,0.13,0.73,-0.32,0.018
20060831,0.03,0,0.27,0.018
20060901,0.49,-0.25,-0.13,0.02
20060905,0.21,0.5,0.02,0.02
20060906,-1.13,-1.01,0.42,0.02
20060907,-0.5,-0.17,0.21,0.02
20060908,0.32,-0.09,-0.15,0.02
20060911,-0.03,-0.14,-0.05,0.02
20060912,1.18,1.16,-0.28,0.02
20060913,0.45,0.39,-0.03,0.02
20060914,-0.16,-0.23,0.04,0.02
20060915,0.21,-0.01,-0.18,0.02
20060918,0.04,0,-0.24,0.02
20060919,-0.29,-0.22,0.13,0.02
20060920,0.6,0.58,-0.03,0.02
20060921,-0.59,-0.35,0.05,0.02
20060922,-0.41,-0.86,0.42,0.02
20060925,0.86,0.19,0.1,0.02
20060926,0.71,-0.35,-0.22,0.02
20060927,0.08,0.35,-0.08,0.02
20060928,0.15,-0.12,-0.15,0.02
20060929,-0.33,-0.63,0.2,0.02
20061002,-0.43,-0.53,0.2,0.018
20061003,0.13,-0.38,0.43,0.018
20061004,1.28,0.73,-0.46,0.018
20061005,0.43,0.9,-0.32,0.018
20061006,-0.31,-0.05,-0.1,0.018
20061009,0.2,0.42,0.08,0.018
20061010,0.21,-0.03,-0.04,0.018
20061011,-0.3,-0.31,0.2,0.018
20061012,1.07,0.96,-0.25,0.018
20061013,0.22,0.48,-0.05,0.018
20061016,0.34,0.62,-0.25,0.018
20061017,-0.44,-0.24,0.35,0.018
20061018,0.08,-0.32,0.05,0.018
20061019,0.1,0.51,-0.24,0.018
20061020,-0.02,-0.68,-0.08,0.018
20061023,0.56,-0.42,-0.22,0.018
20061024,0.01,-0.21,0.2,0.018
20061025,0.32,0.16,-0.02,0.018
20061026,0.63,0.39,0.21,0.018
20061027,-0.88,-0.33,0.08,0.018
20061030,0.07,0.39,0.17,0.018
20061031,-0.07,-0.36,-0.17,0.018
20061101,-0.87,-1.02,0.29,0.02
20061102,-0.05,-0.21,0.03,0.02
20061103,-0.12,0.51,-0.02,0.02
20061106,1.16,0.26,-0.13,0.02
20061107,0.23,0.07,-0.25,0.02
20061108,0.29,0.29,0.33,0.02
20061109,-0.58,-0.46,0.31,0.02
20061110,0.26,0.65,0.08,0.02
20061113,0.27,0.16,0.01,0.02
20061114,0.71,0.92,-0.23,0.02
20061115,0.35,0.56,-0.34,0.02
20061116,0.16,-0.33,0.14,0.02
20061117,0.03,-0.32,-0.23,0.02
20061120,-0.06,0.22,0.02,0.02
20061121,0.14,0.04,-0.09,0.02
20061122,0.28,-0.1,-0.24,0.02
20061124,-0.32,0.23,0.08,0.02
20061127,-1.53,-1.01,0.29,0.02
20061128,0.3,0,-0.04,0.02
20061129,0.95,0.16,-0.08,0.02
20061130,0.11,0.14,0.16,0.02
20061201,-0.3,-0.36,0.12,0.02
20061204,0.99,0.86,-0.17,0.02
20061205,0.41,-0.21,0.25,0.02
20061206,-0.1,-0.08,0.14,0.02
20061207,-0.41,-0.03,0.06,0.02
20061208,0.14,-0.16,-0.11,0.02
20061211,0.18,-0.3,0.64,0.02
20061212,-0.2,-0.52,0.45,0.02
20061213,0.09,-0.03,0.13,0.02
20061214,0.8,-0.14,-0.1,0.02
20061215,0.07,-0.35,0.39,0.02
20061218,-0.46,-0.95,0.19,0.02
20061219,0.16,-0.13,0.03,0.02
20061220,-0.12,0.55,0.1,0.02
20061221,-0.38,0.02,0.34,0.02
20061222,-0.48,0.28,0.07,0.02
20061226,0.44,0.33,0.38,0.02
20061227,0.74,0.53,-0.1,0.02
20061228,-0.18,-0.17,-0.04,0.02
20061229,-0.51,-0.24,-0.13,0.02
20070103,-0.04,0.01,0.17,0.022
20070104,0.16,0.22,-0.5,0.022
20070105,-0.73,-0.93,-0.28,0.022
20070108,0.24,-0.07,0.05,0.022
20070109,0,0.3,-0.3,0.022
20070110,0.23,-0.09,-0.19,0.022
20070111,0.74,0.6,-0.35,0.022
20070112,0.5,0.22,-0.29,0.022
20070116,0,-0.27,0,0.022
20070117,-0.14,-0.23,-0.04,0.022
20070118,-0.48,-1.03,0.42,0.022
20070119,0.33,0.39,0.08,0.022
20070122,-0.55,-0.49,0.3,0.022
20070123,0.37,0.58,0.04,0.022
20070124,0.84,0.28,-0.23,0.022
20070125,-1.15,-0.05,-0.09,0.022
20070126,-0.06,0.54,0.11,0.022
20070129,0.02,0.59,0.24,0.022
20070130,0.52,0,0.17,0.022
20070131,0.64,-0.4,0.02,0.022
20070201,0.59,0.32,-0.2,0.02
20070202,0.15,0.08,0.22,0.02
20070205,-0.12,-0.25,0.11,0.02
20070206,0.1,0.26,0.22,0.02
20070207,0.21,0.38,0.07,0.02
20070208,-0.1,0.24,-0.25,0.02
20070209,-0.76,-0.37,0.19,0.02
20070212,-0.35,0.21,0.11,0.02
20070213,0.72,-0.18,0.31,0.02
20070214,0.73,-0.49,-0.19,0.02
20070215,0.11,0.15,-0.41,0.02
20070216,0,0.26,0.06,0.02
20070220,0.42,0.62,-0.13,0.02
20070221,-0.09,0.31,-0.23,0.02
20070222,-0.06,0.37,-0.13,0.02
20070223,-0.31,0.15,-0.28,0.02
20070226,-0.19,-0.13,0.05,0.02
20070227,-3.43,-0.2,0.18,0.02
20070228,0.47,-0.51,0.2,0.02
20070301,-0.25,-0.1,0.14,0.019
20070302,-1.24,-0.63,0.25,0.019
20070305,-1.11,-0.69,-0.31,0.019
20070306,1.58,0.64,-0.01,0.019
20070307,-0.21,-0.1,0.08,0.019
20070308,0.68,-0.03,-0.06,0.019
20070309,0.09,0.28,0.16,0.019
20070312,0.28,0.29,-0.21,0.019
20070313,-2.03,-0.21,-0.26,0.019
20070314,0.57,0.1,-0.05,0.019
20070315,0.44,0.49,0.17,0.019
20070316,-0.42,-0.09,-0.19,0.019
20070319,1.08,-0.1,-0.1,0.019
20070320,0.67,0.03,0.11,0.019
20070321,1.64,-0.12,-0.11,0.019
20070322,-0.02,0.23,-0.42,0.019
20070323,0.08,0.08,0.08,0.019
20070326,0.06,-0.04,-0.17,0.019
20070327,-0.61,-0.2,-0.05,0.019
20070328,-0.74,0.22,0.02,0.019
20070329,0.29,-0.2,0.11,0.019
20070330,-0.07,0.31,-0.1,0.019
20070402,0.22,0.08,-0.21,0.022
20070403,0.93,0.05,-0.07,0.022
20070404,0.09,-0.18,-0.26,0.022
20070405,0.31,0.03,-0.15,0.022
20070409,0.05,-0.24,0.02,0.022
20070410,0.22,0.08,0.03,0.022
20070411,-0.64,-0.12,0.14,0.022
20070412,0.61,0.23,-0.15,0.022
20070413,0.34,0.23,-0.05,0.022
20070416,1.06,0.28,0.06,0.022
20070417,0.09,-0.43,-0.07,0.022
20070418,0,-0.74,0.55,0.022
20070419,-0.23,-0.37,-0.08,0.022
20070420,0.89,0.23,-0.03,0.022
20070423,-0.24,0.08,-0.33,0.022
20070424,-0.1,-0.06,-0.24,0.022
20070425,0.91,-0.39,0.19,0.022
20070426,-0.02,0.31,-0.28,0.022
20070427,-0.13,-0.3,-0.41,0.022
20070430,-0.93,-0.88,-0.03,0.022
20070501,0.22,-0.05,-0.03,0.018
20070502,0.79,0.62,0.03,0.018
20070503,0.37,-0.34,0.15,0.018
20070504,0.25,0.17,0.02,0.018
20070507,0.18,-0.37,0.28,0.018
20070508,-0.13,-0.03,-0.12,0.018
20070509,0.35,0.08,-0.03,0.018
20070510,-1.42,-0.51,0.25,0.018
20070511,0.95,0.2,0.03,0.018
20070514,-0.28,-0.58,-0.02,0.018
20070515,-0.27,-0.75,0.16,0.018
20070516,0.82,-0.21,0.04,0.018
20070517,-0.1,-0.35,-0.02,0.018
20070518,0.66,0.41,-0.49,0.018
20070521,0.31,0.89,-0.19,0.018
20070522,0.08,0.7,0.03,0.018
20070523,-0.18,-0.2,-0.15,0.018
20070524,-1.07,-0.39,-0.07,0.018
20070525,0.55,0.22,-0.06,0.018
20070529,0.24,0.6,-0.03,0.018
20070530,0.77,-0.22,-0.06,0.018
20070531,0.13,0.36,-0.31,0.018
20070601,0.44,0.29,0.09,0.019
20070604,0.18,0.07,-0.01,0.019
20070605,-0.55,-0.12,-0.21,0.019
20070606,-0.92,0.11,0.03,0.019
20070607,-1.75,-0.04,0.12,0.019
20070608,1.07,-0.03,-0.05,0.019
20070611,0.08,-0.32,0.16,0.019
20070612,-1.06,-0.18,-0.09,0.019
20070613,1.37,-0.19,-0.18,0.019
20070614,0.5,0.13,-0.13,0.019
20070615,0.69,0.5,0.01,0.019
20070618,-0.13,-0.01,-0.02,0.019
20070619,0.14,0.01,0.11,0.019
20070620,-1.29,0.07,-0.17,0.019
20070621,0.56,-0.19,-0.02,0.019
20070622,-1.25,0.59,-0.01,0.019
20070625,-0.39,-0.39,-0.1,0.019
20070626,-0.35,0.17,-0.24,0.019
20070627,0.92,0.48,-0.36,0.019
20070628,0.03,0.18,0.06,0.019
20070629,-0.19,-0.33,-0.06,0.019
20070702,1.06,-0.08,0.11,0.019
20070703,0.36,-0.04,-0.12,0.019
20070705,0.07,0.2,-0.58,0.019
20070706,0.4,-0.07,-0.06,0.019
20070709,0.1,0.07,-0.09,0.019
20070710,-1.43,-0.17,-0.39,0.019
20070711,0.55,-0.3,-0.08,0.019
20070712,1.78,-0.18,-0.26,0.019
20070713,0.28,-0.31,0.04,0.019
20070716,-0.31,-0.44,-0.33,0.019
20070717,0.02,0.15,-0.2,0.019
20070718,-0.25,-0.22,-0.27,0.019
20070719,0.44,0.33,-0.46,0.019
20070720,-1.25,-0.27,-0.21,0.019
20070723,0.36,-0.41,-0.49,0.019
20070724,-2.04,-0.53,-0.29,0.019
20070725,0.3,-0.42,0.06,0.019
20070726,-2.36,-0.08,-0.21,0.019
20070727,-1.51,-0.1,0.09,0.019
20070730,0.93,-0.26,-0.08,0.019
20070731,-1.19,0.37,-0.1,0.019
20070801,0.51,-0.5,-0.3,0.018
20070802,0.55,0.16,-0.3,0.018
20070803,-2.66,-0.67,-0.8,0.018
20070806,2.07,-1.13,-0.38,0.018
20070807,0.65,0.33,-0.61,0.018
20070808,1.47,1.16,-0.68,0.018
20070809,-2.74,1.67,-0.6,0.018
20070810,0.03,-0.03,1.43,0.018
20070813,-0.06,-1.17,0.21,0.018
20070814,-1.83,-0.06,-0.15,0.018
20070815,-1.46,0.04,0.02,0.018
20070816,0.31,1.22,1.39,0.018
20070817,2.36,-0.41,0.42,0.018
20070820,0,0.14,-0.33,0.018
20070821,0.15,-0.02,0.01,0.018
20070822,1.2,0.05,-0.03,0.018
20070823,-0.23,-0.98,0.19,0.018
20070824,1.21,0.12,-0.28,0.018
20070827,-0.85,-0.11,-0.15,0.018
20070828,-2.33,-0.07,-0.4,0.018
20070829,2.13,0.12,0.01,0.018
20070830,-0.43,-0.02,-0.47,0.018
20070831,1.12,0.07,-0.04,0.018
20070904,1.03,-0.2,-0.01,0.017
20070905,-1.05,0,-0.36,0.017
20070906,0.42,-0.01,-0.2,0.017
20070907,-1.7,-0.31,0.24,0.017
20070910,-0.27,-0.5,-0.21,0.017
20070911,1.35,0.04,-0.32,0.017
20070912,-0.03,-0.46,-0.19,0.017
20070913,0.69,-0.64,0.23,0.017
20070914,0.1,0.38,-0.1,0.017
20070917,-0.6,-0.42,0,0.017
20070918,2.88,0.61,0.43,0.017
20070919,0.59,0.59,0.2,0.017
20070920,-0.65,-0.12,-0.33,0.017
20070921,0.43,-0.21,-0.28,0.017
20070924,-0.56,-0.38,-0.62,0.017
20070925,-0.03,-0.3,-0.38,0.017
20070926,0.6,0.19,-0.19,0.017
20070927,0.43,0.18,-0.07,0.017
20070928,-0.37,-0.56,0,0.017
20071001,1.37,0.81,0.06,0.014
20071002,0.11,0.68,0.21,0.014
20071003,-0.48,-0.23,-0.1,0.014
20071004,0.18,-0.05,0.05,0.014
20071005,1.1,0.64,-0.07,0.014
20071008,-0.27,-0.2,-0.34,0.014
20071009,0.78,-0.2,-0.22,0.014
20071010,-0.13,0,-0.45,0.014
20071011,-0.58,-0.64,0.47,0.014
20071012,0.51,0.14,-0.32,0.014
20071015,-0.89,-0.43,-0.2,0.014
20071016,-0.67,-0.03,-0.31,0.014
20071017,0.22,-0.19,-0.19,0.014
20071018,-0.1,0.1,-0.42,0.014
20071019,-2.45,-0.51,0.03,0.014
20071022,0.47,0.91,0.06,0.014
20071023,0.85,0.08,-0.63,0.014
20071024,-0.33,-0.45,-0.26,0.014
20071025,-0.19,-0.31,-0.16,0.014
20071026,1.38,0.29,0.33,0.014
20071029,0.4,-0.29,-0.56,0.014
20071030,-0.64,0.06,0.18,0.014
20071031,1.23,0,-0.18,0.014
20071101,-2.66,-0.91,-0.46,0.016
20071102,0.08,0.2,-0.9,0.016
20071105,-0.59,-0.33,-0.02,0.016
20071106,1.19,0,-0.17,0.016
20071107,-2.77,-0.11,-0.52,0.016
20071108,-0.05,0.54,1.16,0.016
20071109,-1.46,0.17,0.92,0.016
20071112,-1.08,0.41,0.36,0.016
20071113,2.81,-0.48,0.14,0.016
20071114,-0.63,-0.16,-0.23,0.016
20071115,-1.25,-0.03,-0.12,0.016
20071116,0.41,-0.61,-0.7,0.016
20071119,-1.81,-0.29,-0.4,0.016
20071120,0.31,-0.59,-0.1,0.016
20071121,-1.54,0.41,0.12,0.016
20071123,1.59,0.19,0.22,0.016
20071126,-2.09,-0.11,-0.57,0.016
20071127,1.31,-0.54,-0.18,0.016
20071128,2.9,0.33,-0.14,0.016
20071129,0.01,-0.51,-0.31,0.016
20071130,0.7,-0.63,0.89,0.016
20071203,-0.6,-0.6,0.22,0.014
20071204,-0.61,-0.18,-0.18,0.014
20071205,1.47,0.04,-0.05,0.014
20071206,1.55,0.86,0.37,0.014
20071207,-0.07,0.07,-0.14,0.014
20071210,0.71,-0.12,0.2,0.014
20071211,-2.5,-0.3,-0.07,0.014
20071212,0.48,0.03,-0.23,0.014
20071213,0.06,-0.31,-0.34,0.014
20071214,-1.36,-0.5,-0.31,0.014
20071217,-1.58,-0.22,0.3,0.014
20071218,0.65,1.19,-0.03,0.014
20071219,-0.1,0.31,-0.39,0.014
20071220,0.64,0.85,-0.34,0.014
20071221,1.64,0.38,0.01,0.014
20071224,0.8,0.1,0.16,0.014
20071226,0.1,0.23,-0.07,0.014
20071227,-1.49,-1.19,0.06,0.014
20071228,0.12,-0.4,-0.12,0.014
20071231,-0.65,0,0.43,0.014
20080102,-1.46,-0.08,-0.12,0.01
20080103,-0.14,-1.02,-0.42,0.01
20080104,-2.56,-0.48,0.05,0.01
20080107,0.16,0.14,0.2,0.01
20080108,-1.81,-0.43,-0.93,0.01
20080109,1.1,-0.3,-0.65,0.01
20080110,0.89,-0.12,0.52,0.01
20080111,-1.42,-0.76,0.28,0.01
20080114,1.02,-0.04,-0.16,0.01
20080115,-2.39,0.4,-0.07,0.01
20080116,-0.51,0.91,1.12,0.01
20080117,-2.8,0.37,-0.05,0.01
20080118,-0.56,-0.27,-0.82,0.01
20080122,-0.98,0.25,1.37,0.01
20080123,2.04,0.64,1.82,0.01
20080124,1.02,-0.97,-0.48,0.01
20080125,-1.39,0.85,0.16,0.01
20080128,1.71,0.03,1.02,0.01
20080129,0.69,-0.54,1.1,0.01
20080130,-0.59,-0.42,-0.08,0.01
20080131,1.66,0.84,0.49,0.01
20080201,1.48,0.75,0.03,0.007
20080204,-0.99,0.16,-0.2,0.007
20080205,-3.01,0.42,0.07,0.007
20080206,-0.85,-0.41,0.48,0.007
20080207,0.82,0.36,0.17,0.007
20080208,-0.3,-0.12,-0.36,0.007
20080211,0.58,-0.18,-0.6,0.007
20080212,0.61,-0.13,0.02,0.007
20080213,1.46,0.7,-0.04,0.007
20080214,-1.35,-0.79,0.11,0.007
20080215,-0.02,-0.9,0.48,0.007
20080219,-0.06,0.2,-0.32,0.007
20080220,0.83,0.22,0.03,0.007
20080221,-1.28,-0.39,-0.21,0.007
20080222,0.61,-0.88,0.56,0.007
20080225,1.46,0.52,-0.16,0.007
20080226,0.72,0.38,-0.03,0.007
20080227,-0.11,0.06,-0.16,0.007
20080228,-0.93,-0.4,-0.57,0.007
20080229,-2.64,0.09,-0.16,0.007
20080303,-0.04,-0.25,-0.4,0.009
20080304,-0.36,0.01,0.11,0.009
20080305,0.56,-0.21,-0.38,0.009
20080306,-2.26,-0.46,-0.23,0.009
20080307,-0.88,0.23,0.69,0.009
20080310,-1.72,-0.62,0.62,0.009
20080311,3.57,0.24,0.32,0.009
20080312,-0.77,0.17,-0.73,0.009
20080313,0.65,1.32,-0.2,0.009
20080314,-2.07,-0.21,-0.35,0.009
20080317,-1.21,-0.86,0.57,0.009
20080318,4.09,0.04,-0.17,0.009
20080319,-2.37,0,0.24,0.009
20080320,2.3,-0.15,0.87,0.009
20080324,1.71,1.13,-0.61,0.009
20080325,0.38,0.47,-0.17,0.009
20080326,-0.82,0.62,-0.55,0.009
20080327,-1.13,-0.19,0.02,0.009
20080328,-0.82,-0.49,0.22,0.009
20080331,0.57,0.06,0.47,0.009
20080401,3.37,-0.69,0.09,0.008
20080402,-0.09,0.48,-0.2,0.008
20080403,0.14,-0.06,-0.17,0.008
20080404,0.16,0.09,-0.55,0.008
20080407,0.14,-0.44,0.49,0.008
20080408,-0.34,0.31,-0.16,0.008
20080409,-0.96,-0.83,-0.18,0.008
20080410,0.53,0.67,-0.54,0.008
20080411,-2.02,-0.63,0.5,0.008
20080414,-0.38,0.13,-0.34,0.008
20080415,0.46,0.29,0.39,0.008
20080416,2.27,0.49,0.09,0.008
20080417,-0.1,-0.86,0.37,0.008
20080418,1.67,0.12,-0.58,0.008
20080421,-0.17,-0.11,-0.65,0.008
20080422,-0.97,-1.16,0.37,0.008
20080423,0.26,0.21,-1.2,0.008
20080424,0.66,0.56,0.5,0.008
20080425,0.68,-0.23,0.2,0.008
20080428,-0.03,0.57,0.16,0.008
20080429,-0.36,-0.48,0.43,0.008
20080430,-0.3,-0.11,0,0.008
20080501,1.66,0.07,0.33,0.008
20080502,0.2,-0.72,-0.03,0.008
20080505,-0.41,0.28,-0.18,0.008
20080506,0.75,-0.03,0.32,0.008
20080507,-1.66,0.03,-0.16,0.008
20080508,0.37,0.08,-0.31,0.008
20080509,-0.54,0.59,-0.18,0.008
20080512,1.1,0.69,-0.4,0.008
20080513,0.09,0.66,-0.14,0.008
20080514,0.38,-0.4,0.12,0.008
20080515,1.02,-0.1,-0.31,0.008
20080516,0.1,-0.42,-0.04,0.008
20080519,-0.02,-0.24,0.13,0.008
20080520,-0.8,0.6,-0.18,0.008
20080521,-1.56,0.42,0.25,0.008
20080522,0.38,0.28,0.08,0.008
20080523,-1.24,0.12,-0.35,0.008
20080527,0.72,0.55,-0.14,0.008
20080528,0.49,-0.08,-0.15,0.008
20080529,0.61,0.31,-0.17,0.008
20080530,0.29,0.22,-0.03,0.008
20080602,-0.98,0.15,0.17,0.008
20080603,-0.46,0.29,0.03,0.008
20080604,0.02,0.67,-0.63,0.008
20080605,1.95,0.36,-0.19,0.008
20080606,-2.9,0.16,-0.07,0.008
20080609,-0.03,-0.51,-0.45,0.008
20080610,-0.31,-0.01,-0.15,0.008
20080611,-1.66,-0.16,-0.07,0.008
20080612,0.31,-0.03,0.08,0.008
20080613,1.55,0.31,-0.44,0.008
20080616,0.15,0.85,-0.1,0.008
20080617,-0.55,0.11,-0.29,0.008
20080618,-0.96,0.2,0.16,0.008
20080619,0.34,0.56,-0.59,0.008
20080620,-1.79,0.28,0.15,0.008
20080623,-0.16,-0.61,-0.34,0.008
20080624,-0.54,-1.2,0.33,0.008
20080625,0.64,0.38,-0.39,0.008
20080626,-2.83,0.55,0.14,0.008
20080627,-0.37,0.23,-0.53,0.008
20080630,-0.07,-1.19,0.18,0.008
20080701,0.29,-0.44,0.3,0.007
20080702,-2,-0.9,0.16,0.007
20080703,-0.15,-0.63,-0.24,0.007
20080707,-0.81,0.19,-1.26,0.007
20080708,1.84,0.98,2.28,0.007
20080709,-2.06,-0.06,-1.38,0.007
20080710,0.65,-0.03,-1.17,0.007
20080711,-0.88,1.56,-1.09,0.007
20080714,-0.93,-0.07,-2.44,0.007
20080715,-0.96,1.24,-1.23,0.007
20080716,2.52,-0.01,4.65,0.007
20080717,1.12,-0.14,4.03,0.007
20080718,-0.08,-0.82,1.05,0.007
20080721,0.16,0.33,-0.52,0.007
20080722,1.37,0.93,3.01,0.007
20080723,0.32,0.07,1.45,0.007
20080724,-2.31,0.58,-2.84,0.007
20080725,0.47,0.92,-0.97,0.007
20080728,-1.76,0.05,-1.37,0.007
20080729,2.27,-0.41,3.24,0.007
20080730,1.58,-1.43,-0.07,0.007
20080731,-1.16,0.57,0.38,0.007
20080801,-0.47,0.62,0.91,0.006
20080804,-1.09,-0.16,0.32,0.006
20080805,2.65,-0.57,1.67,0.006
20080806,0.5,0.52,-1.08,0.006
20080807,-1.73,0.65,-1.74,0.006
20080808,2.28,0.64,1.22,0.006
20080811,0.83,1.37,1.13,0.006
20080812,-1.05,1.1,-2.06,0.006
20080813,-0.15,0.75,-1.88,0.006
20080814,0.63,0.07,1.27,0.006
20080815,0.38,-0.4,1.01,0.006
20080818,-1.45,0.3,-0.96,0.006
20080819,-1,-0.57,-1.15,0.006
20080820,0.54,-0.7,0.03,0.006
20080821,0.12,-0.94,-0.41,0.006
20080822,1.14,0.45,1,0.006
20080825,-1.92,-0.12,-0.53,0.006
20080826,0.33,-0.22,0.21,0.006
20080827,0.88,0.2,0.4,0.006
20080828,1.51,0.1,1.76,0.006
20080829,-1.25,0.2,0.62,0.006
20080902,-0.44,0.3,1.89,0.007
20080903,-0.23,0.5,1.53,0.007
20080904,-2.9,0.25,-0.49,0.007
20080905,0.42,-0.89,1.57,0.007
20080908,1.76,-0.56,2.1,0.007
20080909,-3.41,0.71,-0.86,0.007
